src_bytes,dst_bytes,count,srv_count
22151.550407027375,1548.900409288566,5,48
1737.4152906460652,3807.8477851946295,26,12
73036.08119003286,634.1733580804524,32,48
3981.1293725285645,115.36169802267247,6,33
3892.487939876863,4307.965236037994,31,26
116422.4117460741,757.9977970324253,216,35
50059.38713657504,996.6354926025335,9,12
14661.508272408208,712.6069988028041,23,21
8769.14062458801,1464.1196135916678,47,30
235.07529325857092,764.6665961900657,4,30
237627.03330129007,502.0541305623722,224,40
28805.081767733976,824.9746147572307,17,32
1775.2816452774132,5458.655191209479,6,44
499.533616204369,1237.7806570533796,10,36
6059.11655977958,492.437398152999,40,19
217.45365684118374,336.1393054223956,37,45
6098.009101558439,500.4817445612755,2,27
20905.304507576195,349.3721270108205,14,26
3495.0288914095972,3570.349759883094,3,49
1175.654608948528,1132.7004951718138,15,3
1568.2290339726248,1833.5151524559935,43,21
8111.167037665727,665.0208018699088,5,20
102042.33214440668,3258.0657874211706,240,21
1241.4088843773504,5208.020090902071,26,34
7304.2668569058915,379.05215016303333,42,44
372.3282840927893,424.581106006303,11,37
3762.90619985172,2691.09310441777,42,2
1000.6661152359668,1955.5038493286247,14,9
2281.135051948522,152.69553492632133,31,21
10193.570120652841,3681.004617392981,25,4
2780.6417452920864,979.2334529005792,12,36
206.8303632035677,9833.683308906242,23,47
2230.35411178055,870.7996271806791,9,39
1245.7764354192434,2382.989782179168,17,32
1911.5727256428802,2116.71369837915,36,12
57401.89595364946,2651.3270124740466,37,30
105671.62873916369,805.1998861943083,1,44
3427.05758814201,651.5202382420199,30,17
339.42495184470295,302.6253034199745,13,10
1447.6692415441505,1995.3826470542942,48,16
2715.856166803011,2950.8274379392747,23,28
6200.241216738488,2354.9497569374985,48,45
57534.97017133437,695.7472284194552,7,3
2789.7516779518573,669.4640169434042,15,6
407.4683019566344,352.29661132382745,30,26
2236.7920127821703,1593.7163410877586,1,42
2471.9247353638298,1650.084991313304,21,42
9519.78690698424,1294.4925821261402,9,41
981.5621641310869,3518.666344247228,33,29
1574.9975362337893,299.2464093380363,18,6
1889.3853582214288,244.48171391275122,21,23
10253.247066254095,2072.4467425322764,29,23
4849.8576774483245,470.56720322918255,45,18
3033.872194122779,813.9459143876338,28,4
20429.265330676415,2461.0107551195892,30,17
17968.460123794106,713.3763162494282,45,39
13040.514392544403,104.32112639811352,39,27
18418.20352540751,477.1011086052619,7,30
